,,,,,,,,,,,,End To End Performance,,,,Shipping Instruction Updating Date & Status,,,,,,,Key,
LC,Jenis Armada,Price,Inap Loading,Inap Bongkar,Buruh Bongkar,Multidrop,Other,Total Price,Supplying Site,Name Vendor,Last Status,Performance,Standard (Days),Actual (Days),Deadline,1=NEW,2=RECEIVE,3=CONFIRM,4=VALIDATE,5=BILLED,6=SENT,7=PAID,Code Supply,Name Supply
260114L011,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L012,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L012,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L013,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L013,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L014,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L014,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L015,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,2,LATE,7,162,23.01.2026,15.01.2026,,,,,,,S001,WH KLS JABABEKA
260114L015,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,2,LATE,7,162,23.01.2026,15.01.2026,,,,,,,S001,WH KLS JABABEKA
260114L016,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,16.01.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L016,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,16.01.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L017,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,2,LATE,7,162,23.01.2026,15.01.2026,,,,,,,S001,WH KLS JABABEKA
260114L017,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,2,LATE,7,162,23.01.2026,15.01.2026,,,,,,,S001,WH KLS JABABEKA
260114L018,CDD BAK,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,10.03.2026,11.03.2026,25.03.2026,02.04.2026,,S001,WH KLS JABABEKA
260114L018,CDD BAK,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,10.03.2026,11.03.2026,25.03.2026,02.04.2026,,S001,WH KLS JABABEKA
260114L019,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. Nusantara Cargo Line,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,30.01.2026,30.01.2026,31.01.2026,03.02.2026,03.02.2026,,S001,WH KLS JABABEKA
260114L019,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. Nusantara Cargo Line,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,30.01.2026,30.01.2026,31.01.2026,03.02.2026,03.02.2026,,S001,WH KLS JABABEKA
260114L020,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. Nusantara Cargo Line,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,30.01.2026,30.01.2026,31.01.2026,03.02.2026,03.02.2026,,S001,WH KLS JABABEKA
260114L020,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. Nusantara Cargo Line,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,30.01.2026,30.01.2026,31.01.2026,03.02.2026,03.02.2026,,S001,WH KLS JABABEKA
260114L021,CDD BAK,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,2,LATE,7,162,23.01.2026,15.01.2026,18.02.2026,,,,,,S001,WH KLS JABABEKA
260114L022,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,25.01.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260114L022,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,25.01.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260114L023,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,25.01.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260114L023,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,25.01.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260114L024,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,2,LATE,7,160,25.01.2026,17.01.2026,17.02.2026,,,,,,S001,WH KLS JABABEKA
260114L025,WINGBOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT.DUNIA EXPRESS TRANSINDO,7,ON SCHEDULE,27,0,25.02.2026,28.01.2026,,23.04.2026,24.04.2026,04.05.2026,05.05.2026,,S001,WH KLS JABABEKA
260114L026,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,25.01.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260114L026,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,25.01.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260114L027,CDD PICK UP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L027,CDD PICK UP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L028,CDD PICK UP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L028,CDD PICK UP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260114L029,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,2,LATE,7,160,25.01.2026,17.01.2026,22.02.2026,,,,,,S001,WH KLS JABABEKA
260114T001,CONT-20,8800000,0,0,0,0,0,8800000,S001 - WH KLS JABABEKA,PT. SENTOSA PRIMA ABADI,7,ON SCHEDULE,40,0,24.02.2026,14.01.2026,27.01.2026,24.02.2026,25.02.2026,26.02.2026,26.02.2026,,S001,WH KLS JABABEKA
260115L002,CONT-20,7900000,0,0,450000,0,0,8350000,S001 - WH KLS JABABEKA,PT VISITA JAYA PERKASA,7,ON SCHEDULE,40,0,25.02.2026,15.01.2026,19.02.2026,19.02.2026,20.02.2026,20.02.2026,20.02.2026,,S001,WH KLS JABABEKA
260115L003,CDD BAK,11500000,0,0,0,2300000,0,13800000,S001 - WH KLS JABABEKA,BINTANG SAMUDERA,7,ON SCHEDULE,29,0,14.02.2026,15.01.2026,27.01.2026,05.02.2026,05.02.2026,06.02.2026,06.02.2026,,S001,WH KLS JABABEKA
260115L004,CDD BAK,4100000,0,0,0,400000,0,4500000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,17.01.2026,23.01.2026,23.01.2026,23.01.2026,23.01.2026,,S001,WH KLS JABABEKA
260115L004,CDD BAK,4100000,0,0,0,400000,0,4500000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,17.01.2026,23.01.2026,23.01.2026,23.01.2026,23.01.2026,,S001,WH KLS JABABEKA
260115L004,CDD BAK,4100000,0,0,0,400000,0,4500000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,17.01.2026,23.01.2026,23.01.2026,23.01.2026,23.01.2026,,S001,WH KLS JABABEKA
260115L005,CDD BAK,4000000,0,0,0,1200000,0,5200000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,28,0,13.02.2026,15.01.2026,17.01.2026,23.01.2026,23.01.2026,23.01.2026,23.01.2026,,S001,WH KLS JABABEKA
260115L005,CDD BAK,4000000,0,0,0,1200000,0,5200000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,28,0,13.02.2026,15.01.2026,17.01.2026,23.01.2026,23.01.2026,23.01.2026,23.01.2026,,S001,WH KLS JABABEKA
260115L005,CDD BAK,4000000,0,0,0,1200000,0,5200000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,28,0,13.02.2026,15.01.2026,17.01.2026,23.01.2026,23.01.2026,23.01.2026,23.01.2026,,S001,WH KLS JABABEKA
260115L005,CDD BAK,4000000,0,0,0,1200000,0,5200000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,28,0,13.02.2026,15.01.2026,17.01.2026,23.01.2026,23.01.2026,23.01.2026,23.01.2026,,S001,WH KLS JABABEKA
260115L005,CDD BAK,4000000,0,0,0,1200000,0,5200000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,28,0,13.02.2026,15.01.2026,17.01.2026,23.01.2026,23.01.2026,23.01.2026,23.01.2026,,S001,WH KLS JABABEKA
260115L005,CDD BAK,4000000,0,0,0,1200000,0,5200000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,28,0,13.02.2026,15.01.2026,17.01.2026,23.01.2026,23.01.2026,23.01.2026,23.01.2026,,S001,WH KLS JABABEKA
260115L006,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,2,LATE,7,161,23.01.2026,15.01.2026,,,,,,,S001,WH KLS JABABEKA
260115L006,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,2,LATE,7,161,23.01.2026,15.01.2026,,,,,,,S001,WH KLS JABABEKA
260115L007,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,,27.02.2026,27.02.2026,10.03.2026,27.03.2026,,S001,WH KLS JABABEKA
260115L008,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,,27.02.2026,27.02.2026,30.03.2026,06.04.2026,,S001,WH KLS JABABEKA
260115L009,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,,25.02.2026,27.02.2026,30.03.2026,07.04.2026,,S001,WH KLS JABABEKA
260115L010,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,13.02.2026,16.01.2026,25.01.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260115L010,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,13.02.2026,16.01.2026,25.01.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260115L011,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,13.02.2026,16.01.2026,25.01.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260115L011,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,13.02.2026,16.01.2026,25.01.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260115L012,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,13.02.2026,16.01.2026,17.02.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260115L012,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,13.02.2026,16.01.2026,17.02.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260115L013,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,13.02.2026,16.01.2026,25.01.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260115L013,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,7,ON SCHEDULE,27,0,13.02.2026,16.01.2026,25.01.2026,07.04.2026,07.04.2026,10.04.2026,13.04.2026,,S001,WH KLS JABABEKA
260115L014,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,2,LATE,7,161,24.01.2026,16.01.2026,25.01.2026,,,,,,S001,WH KLS JABABEKA
260115L015,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,2,LATE,7,161,24.01.2026,16.01.2026,25.01.2026,,,,,,S001,WH KLS JABABEKA
260115L016,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,2,LATE,7,161,24.01.2026,16.01.2026,25.01.2026,,,,,,S001,WH KLS JABABEKA
260115L017,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,2,LATE,7,161,24.01.2026,16.01.2026,25.01.2026,,,,,,S001,WH KLS JABABEKA
260115L018,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,2,LATE,7,161,24.01.2026,16.01.2026,25.01.2026,,,,,,S001,WH KLS JABABEKA
260115L019,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,2,LATE,7,159,25.01.2026,17.01.2026,25.01.2026,,,,,,S001,WH KLS JABABEKA
260115L020,FUSO,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,BEPA IKA PEKASA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,16.01.2026,20.01.2026,20.01.2026,20.01.2026,26.01.2026,,S001,WH KLS JABABEKA
260115L025,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260115L025,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260115L026,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260115L026,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,12.02.2026,15.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260115L027,MINI VAN BOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,FIRST LOGISTICS,2,LATE,7,159,25.01.2026,17.01.2026,17.02.2026,,,,,,S001,WH KLS JABABEKA
260115L028,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,20.02.2026,10.03.2026,11.03.2026,25.03.2026,02.04.2026,,S001,WH KLS JABABEKA
260115L028,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,20.02.2026,10.03.2026,11.03.2026,25.03.2026,02.04.2026,,S001,WH KLS JABABEKA
260116L001,WINGBOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. Satria Piranti Perkasa,7,ON SCHEDULE,27,0,13.02.2026,16.01.2026,23.01.2026,11.03.2026,12.03.2026,25.03.2026,25.03.2026,,S001,WH KLS JABABEKA
260116L002,CDD BAK,8250000,0,0,0,1350000,0,9600000,S001 - WH KLS JABABEKA,PT. HARI JAYA SEJAHTERA,7,ON SCHEDULE,30,0,16.02.2026,16.01.2026,20.01.2026,23.01.2026,23.01.2026,26.01.2026,28.01.2026,,S001,WH KLS JABABEKA
260116L002,CDD BAK,8250000,0,0,0,1350000,0,9600000,S001 - WH KLS JABABEKA,PT. HARI JAYA SEJAHTERA,7,ON SCHEDULE,30,0,16.02.2026,16.01.2026,20.01.2026,23.01.2026,23.01.2026,26.01.2026,28.01.2026,,S001,WH KLS JABABEKA
260116L002,CDD BAK,8250000,0,0,0,1350000,0,9600000,S001 - WH KLS JABABEKA,PT. HARI JAYA SEJAHTERA,7,ON SCHEDULE,30,0,16.02.2026,16.01.2026,20.01.2026,23.01.2026,23.01.2026,26.01.2026,28.01.2026,,S001,WH KLS JABABEKA
260116T001,WINGBOX,5650000,0,0,0,0,0,5650000,S001 - WH KLS JABABEKA,PT. DUTA MEDIA MANDIRI,7,ON SCHEDULE,29,0,15.02.2026,16.01.2026,20.01.2026,27.01.2026,27.01.2026,27.01.2026,27.01.2026,,S001,WH KLS JABABEKA
260117L001,WINGBOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT.DUNIA EXPRESS TRANSINDO,7,ON SCHEDULE,27,0,25.02.2026,28.01.2026,,23.04.2026,24.04.2026,04.05.2026,05.05.2026,,S001,WH KLS JABABEKA
260117L002,WINGBOX,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT.DUNIA EXPRESS TRANSINDO,7,ON SCHEDULE,27,0,25.02.2026,28.01.2026,,23.04.2026,24.04.2026,04.05.2026,05.05.2026,,S001,WH KLS JABABEKA
260117L004,CDD BAK,4700000,0,0,0,400000,600000,5700000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,29,0,16.02.2026,17.01.2026,23.01.2026,23.01.2026,26.01.2026,26.01.2026,26.01.2026,,S001,WH KLS JABABEKA
260117L004,CDD BAK,4700000,0,0,0,400000,600000,5700000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,29,0,16.02.2026,17.01.2026,23.01.2026,23.01.2026,26.01.2026,26.01.2026,26.01.2026,,S001,WH KLS JABABEKA
260117L004,CDD BAK,4700000,0,0,0,400000,600000,5700000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,29,0,16.02.2026,17.01.2026,23.01.2026,23.01.2026,26.01.2026,26.01.2026,26.01.2026,,S001,WH KLS JABABEKA
260117L005,CDD BAK,4500000,0,0,0,550000,0,5050000,S001 - WH KLS JABABEKA,PT. HARI JAYA SEJAHTERA,7,ON SCHEDULE,29,0,19.02.2026,20.01.2026,25.01.2026,26.01.2026,26.01.2026,28.01.2026,28.01.2026,,S001,WH KLS JABABEKA
260117L005,CDD BAK,4500000,0,0,0,550000,0,5050000,S001 - WH KLS JABABEKA,PT. HARI JAYA SEJAHTERA,7,ON SCHEDULE,29,0,19.02.2026,20.01.2026,25.01.2026,26.01.2026,26.01.2026,28.01.2026,28.01.2026,,S001,WH KLS JABABEKA
260117L006,CDD BAK,5300000,0,0,0,800000,0,6100000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,29,0,16.02.2026,17.01.2026,23.01.2026,23.01.2026,26.01.2026,26.01.2026,26.01.2026,,S001,WH KLS JABABEKA
260117L006,CDD BAK,5300000,0,0,0,800000,0,6100000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,29,0,16.02.2026,17.01.2026,23.01.2026,23.01.2026,26.01.2026,26.01.2026,26.01.2026,,S001,WH KLS JABABEKA
260117L006,CDD BAK,5300000,0,0,0,800000,0,6100000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,29,0,16.02.2026,17.01.2026,23.01.2026,23.01.2026,26.01.2026,26.01.2026,26.01.2026,,S001,WH KLS JABABEKA
260117L006,CDD BAK,5300000,0,0,0,800000,0,6100000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,29,0,16.02.2026,17.01.2026,23.01.2026,23.01.2026,26.01.2026,26.01.2026,26.01.2026,,S001,WH KLS JABABEKA
260117L006,CDD BAK,5300000,0,0,0,800000,0,6100000,S001 - WH KLS JABABEKA,EKA CIPTA MANGGALA,7,ON SCHEDULE,29,0,16.02.2026,17.01.2026,23.01.2026,23.01.2026,26.01.2026,26.01.2026,26.01.2026,,S001,WH KLS JABABEKA
260117L007,CDD BAK,4500000,0,0,0,1450000,0,5950000,S001 - WH KLS JABABEKA,PT. HARI JAYA SEJAHTERA,7,ON SCHEDULE,29,0,16.02.2026,17.01.2026,25.01.2026,26.01.2026,26.01.2026,28.01.2026,28.01.2026,,S001,WH KLS JABABEKA
260117L007,CDD BAK,4500000,0,0,0,1450000,0,5950000,S001 - WH KLS JABABEKA,PT. HARI JAYA SEJAHTERA,7,ON SCHEDULE,29,0,16.02.2026,17.01.2026,25.01.2026,26.01.2026,26.01.2026,28.01.2026,28.01.2026,,S001,WH KLS JABABEKA
260117L007,CDD BAK,4500000,0,0,0,1450000,0,5950000,S001 - WH KLS JABABEKA,PT. HARI JAYA SEJAHTERA,7,ON SCHEDULE,29,0,16.02.2026,17.01.2026,25.01.2026,26.01.2026,26.01.2026,28.01.2026,28.01.2026,,S001,WH KLS JABABEKA
260117L008,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260117L008,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260117L010,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,20.02.2026,25.03.2026,25.03.2026,30.03.2026,31.03.2026,,S001,WH KLS JABABEKA
260117L010,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,20.02.2026,25.03.2026,25.03.2026,30.03.2026,31.03.2026,,S001,WH KLS JABABEKA
260117L011,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,20.02.2026,25.03.2026,25.03.2026,30.03.2026,31.03.2026,,S001,WH KLS JABABEKA
260117L011,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,20.02.2026,25.03.2026,25.03.2026,30.03.2026,31.03.2026,,S001,WH KLS JABABEKA
260117L012,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
260117L012,CDE PICKUP,0,0,0,0,0,0,0,S001 - WH KLS JABABEKA,PT. MERPATI ALAM SEMESTA,7,ON SCHEDULE,27,0,14.02.2026,17.01.2026,13.02.2026,14.04.2026,14.04.2026,24.04.2026,27.04.2026,,S001,WH KLS JABABEKA
